随手记导出文件(headers:v5; iPhone; MyMoneyPro; 12.82.0; 20210422)
交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2021-02-03 09:10:59,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-03 09:10:55,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-02-02 16:00:06,食品酒水,中餐,,港币,HKD,17.00,,,,
支出,2021-02-02 15:07:41,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-01 19:36:15,居家生活,快递费,,港币,HKD,23.00,,,,
支出,2021-02-01 12:12:14,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-02-01 12:12:04,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-31 17:10:18,购物消费,超市购物,,港币,HKD,106.00,,,学校超市,
支出,2021-01-30 13:47:13,行车交通,停车,,港币,HKD,14.00,,,,
支出,2021-01-30 12:32:16,食品酒水,中餐,,港币,HKD,58.00,,,,
支出,2021-01-29 13:43:45,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-28 22:03:27,食品酒水,晚餐,,港币,HKD,45.00,,,,
支出,2021-01-28 22:03:09,购物消费,超市购物,,港币,HKD,315.80,,,,
支出,2021-01-28 22:02:40,购物消费,宠物支出,,港币,HKD,3200.00,,,小方到你了,
支出,2021-01-28 21:58:38,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-01-28 18:07:27,食品酒水,晚餐,,港币,HKD,45.00,,,,
支出,2021-01-28 12:22:34,行车交通,停车,,港币,HKD,4.00,,,,
支出,2021-01-28 12:21:53,行车交通,公共交通,,港币,HKD,69.20,,,,
收入,2021-01-28 10:41:01,职业收入,工资收入,,港币,HKD,24000.00,,,,
支出,2021-01-28 10:38:45,食品酒水,早餐,,港币,HKD,26.50,,,,
支出,2021-01-28 10:37:13,居家生活,医疗保险,,港币,HKD,21.00,,,,
收入,2021-01-28 10:36:46,职业收入,工资收入,,港币,HKD,62998.00,,,,
支出,2021-01-27 16:35:04,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-27 16:35:01,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-26 10:54:11,购物消费,衣裤鞋帽,,人民币,CNY,139.00,,,,
支出,2021-01-26 10:54:00,购物消费,玩具,,人民币,CNY,36.00,,,,
支出,2021-01-26 10:53:43,购物消费,电子数码,,人民币,CNY,32.00,,,,
支出,2021-01-26 10:53:33,购物消费,超市购物,,人民币,CNY,234.00,,,,
支出,2021-01-26 09:38:32,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-25 14:44:31,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2021-01-25 14:44:12,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-23 23:36:59,食品酒水,饮料酒水,,港币,HKD,72.00,,,烟,
支出,2021-01-23 13:16:36,购物消费,超市购物,,港币,HKD,53.00,,,体温计,
支出,2021-01-23 12:42:12,食品酒水,中餐,,港币,HKD,122.00,,,,
支出,2021-01-22 21:12:57,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-01-22 21:12:44,食品酒水,晚餐,,港币,HKD,67.00,,,,
支出,2021-01-22 21:12:34,食品酒水,晚餐,,港币,HKD,26.00,,,,
支出,2021-01-22 21:11:50,购物消费,超市购物,,港币,HKD,206.00,,,百佳,
支出,2021-01-22 14:56:10,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2021-01-22 14:56:06,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-22 08:04:44,购物消费,珠宝首饰,,人民币,CNY,323.00,,,,
支出,2021-01-22 08:04:15,购物消费,宠物支出,,人民币,CNY,666.00,,,,
支出,2021-01-22 08:03:56,购物消费,超市购物,,人民币,CNY,260.00,,,,
支出,2021-01-22 07:27:49,购物消费,超市购物,,港币,HKD,81.40,,,学校超市,
支出,2021-01-21 14:35:10,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2021-01-21 10:35:00,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-20 16:42:13,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-19 20:47:05,购物消费,宠物支出,,港币,HKD,380.00,,,过,
支出,2021-01-19 18:33:36,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-19 12:19:20,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-18 19:34:03,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2021-01-18 19:33:59,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-18 11:57:03,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-18 08:32:35,食品酒水,早餐,,港币,HKD,27.60,,,,
支出,2021-01-17 12:29:58,食品酒水,买菜,,港币,HKD,51.30,,,,
支出,2021-01-17 12:29:52,食品酒水,中餐,,港币,HKD,102.00,,,,
支出,2021-01-16 20:58:29,购物消费,宠物支出,,港币,HKD,180.00,,,小方,
支出,2021-01-16 18:39:14,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-01-16 16:34:08,食品酒水,饮料酒水,,港币,HKD,12.50,,,,
支出,2021-01-16 13:33:31,其他杂项,烂账损失,,港币,HKD,15.00,,,,
支出,2021-01-16 13:33:24,食品酒水,中餐,,港币,HKD,187.00,,,,
支出,2021-01-15 20:06:43,食品酒水,晚餐,,港币,HKD,109.00,,,,
支出,2021-01-15 17:09:32,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-15 17:09:28,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-15 17:09:11,购物消费,超市购物,,港币,HKD,18.50,,,喷嘴吧的，疼,
支出,2021-01-15 10:23:57,居家生活,快递费,,人民币,CNY,38.00,,,,
支出,2021-01-15 10:14:45,购物消费,超市购物,,人民币,CNY,250.00,,,牛肉干,
支出,2021-01-15 10:14:36,购物消费,电子数码,,人民币,CNY,69.00,,,,
支出,2021-01-14 13:52:46,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-14 13:52:43,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-14 10:57:18,食品酒水,买菜,,人民币,CNY,225.00,,,,
支出,2021-01-14 08:49:58,食品酒水,早餐,,港币,HKD,26.00,,,,
支出,2021-01-13 21:30:39,食品酒水,中餐,,港币,HKD,61.00,,,,
支出,2021-01-13 20:53:05,购物消费,宠物支出,,港币,HKD,2920.00,,,过儿,
支出,2021-01-13 11:44:42,购物消费,宠物支出,,人民币,CNY,440.00,,,猫粮,
支出,2021-01-13 00:05:12,购物消费,电子数码,,人民币,CNY,30.50,,,,
支出,2021-01-12 19:22:58,居家生活,水费,,港币,HKD,396.30,,,,
支出,2021-01-12 19:22:46,居家生活,燃气费,,港币,HKD,526.00,,,,
支出,2021-01-12 19:22:27,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-01-12 16:29:40,购物消费,珠宝首饰,,人民币,CNY,77.50,,,,
支出,2021-01-12 15:01:54,行车交通,加油,,港币,HKD,253.00,,,,
支出,2021-01-12 15:01:21,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-12 15:01:15,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-12 14:17:19,食品酒水,中餐,,港币,HKD,31.00,,,,
支出,2021-01-11 19:12:02,购物消费,宠物支出,,港币,HKD,49.00,,,,
支出,2021-01-11 19:11:55,食品酒水,晚餐,,港币,HKD,95.00,,,,
支出,2021-01-11 15:23:55,购物消费,衣裤鞋帽,,人民币,CNY,593.00,,,,
支出,2021-01-11 15:07:30,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-11 15:07:15,交流通讯,手机话费,,港币,HKD,108.00,,,开卡,
支出,2021-01-11 12:43:51,食品酒水,中餐,,港币,HKD,36.00,,,,
支出,2021-01-11 08:28:31,食品酒水,早餐,,港币,HKD,26.50,,,,
支出,2021-01-10 16:58:56,食品酒水,晚餐,,港币,HKD,88.00,,,,
支出,2021-01-10 16:53:16,食品酒水,中餐,,港币,HKD,38.00,,,,
支出,2021-01-10 16:53:02,行车交通,公共交通,,港币,HKD,19.00,,,,
支出,2021-01-10 16:52:56,行车交通,停车,,港币,HKD,30.00,,,,
支出,2021-01-09 22:30:27,居家生活,快递费,,人民币,CNY,142.00,,,,
收入,2021-01-09 16:50:46,职业收入,兼职收入,,港币,HKD,500.00,,,外包,
支出,2021-01-09 16:49:09,购物消费,宠物支出,,港币,HKD,1000.00,,,大过，,
支出,2021-01-08 21:12:25,食品酒水,晚餐,,港币,HKD,110.00,,,米线阵,
支出,2021-01-08 16:56:48,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-08 16:56:40,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-08 10:44:07,食品酒水,早餐,,港币,HKD,26.00,,,,
支出,2021-01-08 00:12:55,休闲娱乐,游戏,,港币,HKD,119.00,,,,
支出,2021-01-07 14:25:04,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-07 14:25:01,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-07 09:35:26,食品酒水,早餐,,港币,HKD,16.00,,,,
支出,2021-01-06 21:08:44,购物消费,衣裤鞋帽,,人民币,CNY,149.00,老公,,,
支出,2021-01-06 20:53:08,食品酒水,饮料酒水,,港币,HKD,9.50,,,,
支出,2021-01-06 19:35:53,食品酒水,中餐,,港币,HKD,61.00,,,少奶奶,
支出,2021-01-06 18:02:26,购物消费,玩具,,人民币,CNY,255.00,,,,
支出,2021-01-06 14:17:28,休闲娱乐,聚会,,人民币,CNY,465.00,,,,
支出,2021-01-06 14:16:38,购物消费,玩具,,人民币,CNY,96.50,,,,
支出,2021-01-06 09:11:25,食品酒水,饮料酒水,,港币,HKD,60.00,,,,
支出,2021-01-06 09:11:23,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-06 09:11:19,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2021-01-05 22:19:55,购物消费,家具家电,,人民币,CNY,161.00,,,,
支出,2021-01-05 14:19:11,食品酒水,饮料酒水,,港币,HKD,5.00,,,,
支出,2021-01-05 14:19:09,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2021-01-04 20:52:36,食品酒水,买菜,,人民币,CNY,236.50,,,,
支出,2021-01-04 17:47:59,其他杂项,税,,港币,HKD,163814.00,,,,
支出,2021-01-04 15:29:34,行车交通,加油,,港币,HKD,380.00,,,,
支出,2021-01-04 00:46:29,行车交通,过路费,,港币,HKD,11.00,,,,
支出,2021-01-04 00:46:15,行车交通,停车,,港币,HKD,44.00,,,,
支出,2021-01-03 21:07:16,购物消费,玩具,,人民币,CNY,208.00,,,猫玩的,
支出,2021-01-03 21:05:46,购物消费,超市购物,,人民币,CNY,83.00,,,杯子,
支出,2021-01-03 21:04:34,购物消费,家具家电,,人民币,CNY,148.00,,,咖啡磨豆机,
支出,2021-01-03 12:24:39,交流通讯,手机话费,,港币,HKD,166.00,,,,
支出,2021-01-02 16:50:59,食品酒水,晚餐,,港币,HKD,51.00,,,,
支出,2021-01-01 21:34:55,购物消费,超市购物,,港币,HKD,65.00,,,厨房用具,
支出,2021-01-01 21:34:18,食品酒水,晚餐,,港币,HKD,191.40,,,快乐元旦睡一天,
支出,2021-01-01 11:03:37,交流通讯,手机话费,,港币,HKD,156.00,,,,
支出,2020-12-31 14:05:04,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-12-31 14:05:00,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-12-31 14:04:42,食品酒水,饮料酒水,,港币,HKD,42.00,,,昨天，今天，和请了鲁大师,
支出,2020-12-30 14:36:42,食品酒水,饮料酒水,,港币,HKD,6.50,默认,,,
支出,2020-12-30 12:08:42,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-12-30 12:08:39,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-12-29 11:50:17,食品酒水,中餐,,港币,HKD,220.00,,,,
支出,2020-12-29 09:22:08,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-12-29 09:22:01,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-12-28 22:24:42,食品酒水,饮料酒水,,港币,HKD,55.00,,,,
支出,2020-12-28 11:38:16,食品酒水,中餐,,港币,HKD,112.00,,,,
支出,2020-12-28 08:28:24,食品酒水,早餐,,港币,HKD,36.50,,,,
支出,2020-12-27 22:29:22,居家生活,快递费,,人民币,CNY,440.00,,,,
支出,2020-12-26 12:08:42,食品酒水,买菜,,港币,HKD,87.60,,,,
支出,2020-12-26 11:06:42,人情费用,孝敬长辈,,人民币,CNY,1280.00,,,,
支出,2020-12-26 11:06:37,食品酒水,买菜,,人民币,CNY,85.00,,,,
支出,2020-12-25 18:39:03,行车交通,加油,,港币,HKD,400.00,,,,
支出,2020-12-25 17:23:01,休闲娱乐,聚会,,港币,HKD,428.00,,,"爬山, 千岛湖",
支出,2020-12-25 17:22:37,食品酒水,晚餐,,港币,HKD,174.00,,,,
支出,2020-12-25 17:22:32,食品酒水,中餐,,港币,HKD,201.00,,,,
收入,2020-12-25 11:35:10,职业收入,工资收入,,港币,HKD,34372.00,,,,
收入,2020-12-25 11:34:55,职业收入,工资收入,,港币,HKD,63000.00,,,,
支出,2020-12-23 17:30:41,食品酒水,早餐,,港币,HKD,60.00,,,,
支出,2020-12-23 17:30:40,购物消费,运动器械,,人民币,CNY,128.00,,,,
支出,2020-12-23 17:30:25,购物消费,衣裤鞋帽,,港币,HKD,818.00,,,登山鞋 我和媳妇,
支出,2020-12-23 00:00:12,购物消费,衣裤鞋帽,,人民币,CNY,316.00,,,,
支出,2020-12-22 09:01:30,食品酒水,早餐,,港币,HKD,41.00,,,,
支出,2020-12-21 18:08:00,食品酒水,买菜,,港币,HKD,55.40,,,,
支出,2020-12-21 12:33:03,食品酒水,买菜,,人民币,CNY,243.50,,,,
支出,2020-12-21 09:01:43,购物消费,电子数码,,人民币,CNY,128.00,老公,,,
支出,2020-12-21 08:15:49,食品酒水,早餐,,港币,HKD,45.00,,,,
支出,2020-12-19 17:31:29,食品酒水,买菜,,人民币,CNY,151.00,,,,
支出,2020-12-19 17:22:03,食品酒水,饮料酒水,,港币,HKD,10.00,,,,
支出,2020-12-19 17:21:48,购物消费,衣裤鞋帽,,人民币,CNY,170.00,,,,
支出,2020-12-19 17:21:33,食品酒水,中餐,,港币,HKD,169.00,,,,
支出,2020-12-19 17:21:15,行车交通,公共交通,,港币,HKD,32.00,,,,
支出,2020-12-19 11:50:16,行车交通,地铁,,港币,HKD,42.00,,,,
支出,2020-12-18 19:58:47,食品酒水,中餐,,港币,HKD,35.00,,,,
支出,2020-12-18 19:58:37,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2020-12-18 19:58:33,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-12-18 19:58:30,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-12-17 21:52:46,行车交通,加油,,港币,HKD,600.00,,,,
支出,2020-12-17 21:52:29,食品酒水,晚餐,,港币,HKD,109.00,,,下午茶,
支出,2020-12-17 21:52:22,食品酒水,早餐,,港币,HKD,25.00,,,,
支出,2020-12-15 08:58:09,购物消费,超市购物,,港币,HKD,27.00,,,,
支出,2020-12-15 08:37:48,食品酒水,早餐,,港币,HKD,43.50,,,,
支出,2020-12-14 20:59:20,食品酒水,早餐,,港币,HKD,28.00,,,,
支出,2020-12-14 20:59:08,购物消费,宠物支出,,人民币,CNY,260.00,,,,
支出,2020-12-13 21:22:25,购物消费,家居饰品,,人民币,CNY,250.00,,,,
支出,2020-12-13 19:57:06,医疗教育,治疗费,,港币,HKD,70.00,老公,,烟,
支出,2020-12-13 19:56:50,食品酒水,买菜,,港币,HKD,56.60,,,,
支出,2020-12-13 18:06:49,食品酒水,买菜,,人民币,CNY,69.73,,,,
支出,2020-12-12 21:51:06,食品酒水,柴米油盐,,人民币,CNY,268.00,,,,
支出,2020-12-12 21:50:47,购物消费,宠物支出,,人民币,CNY,256.00,,,,
支出,2020-12-12 20:00:52,人情费用,孝敬长辈,,人民币,CNY,570.00,,,,
支出,2020-12-12 20:00:29,购物消费,衣裤鞋帽,,人民币,CNY,270.00,,,,
支出,2020-12-12 13:50:26,食品酒水,饮料酒水,,港币,HKD,8.50,,,,
支出,2020-12-12 13:50:20,食品酒水,中餐,,港币,HKD,122.00,,,,
支出,2020-12-11 18:08:49,食品酒水,买菜,,港币,HKD,28.70,,,,
支出,2020-12-11 08:32:05,食品酒水,早餐,,港币,HKD,25.00,,,,
支出,2020-12-11 08:28:10,食品酒水,早餐,,港币,HKD,16.00,,,,
支出,2020-12-10 22:21:49,购物消费,厨房用品,,人民币,CNY,202.00,,,,
支出,2020-12-10 21:33:45,购物消费,电子数码,,人民币,CNY,190.00,,,,
支出,2020-12-10 21:12:58,购物消费,珠宝首饰,,人民币,CNY,229.00,,,,
支出,2020-12-10 21:12:34,购物消费,日常用品,,人民币,CNY,81.00,,,,
支出,2020-12-10 21:12:11,购物消费,宠物支出,,人民币,CNY,238.00,,,,
支出,2020-12-10 16:03:28,购物消费,家居饰品,,人民币,CNY,108.00,,,,
支出,2020-12-10 16:03:12,购物消费,厨房用品,,人民币,CNY,111.00,,,,
支出,2020-12-10 16:02:49,购物消费,家具家电,,人民币,CNY,450.00,老公,,桌子,
支出,2020-12-10 16:02:21,购物消费,家具家电,,人民币,CNY,129.00,,,,
支出,2020-12-10 16:01:46,购物消费,宠物支出,,人民币,CNY,561.00,,,,
支出,2020-12-10 16:01:09,食品酒水,柴米油盐,,人民币,CNY,566.00,,,,
支出,2020-12-10 16:00:35,购物消费,珠宝首饰,,人民币,CNY,449.00,,,眼镜,
支出,2020-12-10 15:59:52,购物消费,家具家电,,人民币,CNY,828.00,,,窗帘,
支出,2020-12-10 15:59:30,购物消费,家具家电,,人民币,CNY,1074.00,老公,,咖啡机,
支出,2020-12-10 15:40:44,食品酒水,买菜,,港币,HKD,66.00,,,,
支出,2020-12-10 15:15:53,食品酒水,买菜,,人民币,CNY,297.00,,,,
支出,2020-12-10 15:15:26,食品酒水,中餐,,港币,HKD,41.00,,,,
支出,2020-12-09 08:05:14,食品酒水,早餐,,港币,HKD,51.50,,,,
支出,2020-12-07 21:41:43,购物消费,家具家电,,人民币,CNY,269.00,,,,
支出,2020-12-07 15:51:56,购物消费,衣裤鞋帽,,人民币,CNY,744.00,,,,
支出,2020-12-07 15:51:39,购物消费,家具家电,,人民币,CNY,270.00,,,,
支出,2020-12-06 21:52:40,食品酒水,饮料酒水,,港币,HKD,15.00,,,红牛,
支出,2020-12-06 12:32:13,食品酒水,买菜,,港币,HKD,19.80,,,,
支出,2020-12-06 12:32:07,食品酒水,中餐,,港币,HKD,41.00,,,,
支出,2020-12-06 11:52:06,居家生活,电费,,港币,HKD,842.00,,,,
支出,2020-12-05 21:55:25,交流通讯,手机话费,,港币,HKD,322.00,,,,
支出,2020-12-05 21:22:14,人情费用,孝敬长辈,,人民币,CNY,529.00,,,,
支出,2020-12-05 21:18:00,人情费用,孝敬长辈,,人民币,CNY,510.00,,,,
支出,2020-12-05 21:16:04,食品酒水,买菜,,人民币,CNY,23.00,,,,
支出,2020-12-05 19:10:50,食品酒水,买菜,,人民币,CNY,68.60,,,,
支出,2020-12-04 13:44:46,食品酒水,零食,,港币,HKD,36.00,,,蛋挞冰淇淋,
支出,2020-12-04 13:44:28,购物消费,超市购物,,港币,HKD,500.00,,,,
支出,2020-12-03 16:31:28,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-12-03 16:31:19,食品酒水,中餐,,港币,HKD,20.00,,,,
支出,2020-12-02 16:02:28,食品酒水,早餐,,港币,HKD,35.00,,,,
支出,2020-12-01 13:32:46,食品酒水,中餐,,港币,HKD,85.00,,,,
支出,2020-12-01 09:32:21,食品酒水,早餐,,港币,HKD,49.00,,,,
支出,2020-11-30 17:02:29,食品酒水,中餐,,港币,HKD,35.00,,,,
支出,2020-11-29 19:37:23,食品酒水,买菜,,港币,HKD,301.00,,,,
支出,2020-11-29 13:15:54,人情费用,请客,,港币,HKD,327.00,,,,
支出,2020-11-28 23:38:38,食品酒水,买菜,,人民币,CNY,101.00,,,,
余额变更,2020-11-28 22:36:21,,,,港币,HKD,357168.00,,,,
收入,2020-11-28 22:22:16,职业收入,工资收入,,港币,HKD,63000.00,,,,
收入,2020-11-28 22:22:08,职业收入,工资收入,,港币,HKD,24000.00,,,,
支出,2020-11-28 20:54:35,行车交通,加油,,港币,HKD,500.00,,,,
支出,2020-11-28 14:25:03,购物消费,衣裤鞋帽,,人民币,CNY,452.00,老公,,,
支出,2020-11-28 14:24:35,购物消费,宠物支出,,港币,HKD,180.00,,,,
支出,2020-11-28 14:24:28,食品酒水,买菜,,港币,HKD,39.90,,,,
支出,2020-11-27 20:54:16,食品酒水,中餐,,港币,HKD,50.00,,,,
支出,2020-11-26 12:39:53,食品酒水,中餐,,港币,HKD,44.50,,,,
支出,2020-11-26 09:28:40,食品酒水,柴米油盐,,人民币,CNY,500.00,,,,
支出,2020-11-26 09:28:33,食品酒水,买菜,,人民币,CNY,100.00,,,,
支出,2020-11-25 23:39:31,食品酒水,饮料酒水,,港币,HKD,126.00,,,,
支出,2020-11-25 23:39:25,食品酒水,早餐,,港币,HKD,20.00,,,两天的,
支出,2020-11-25 23:39:17,食品酒水,中餐,,港币,HKD,30.00,,,两天的,
支出,2020-11-25 09:09:22,食品酒水,早餐,,港币,HKD,31.00,,,,
支出,2020-11-23 14:38:28,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2020-11-23 14:38:23,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-23 14:38:20,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-23 12:33:38,食品酒水,中餐,,港币,HKD,38.50,,,,
支出,2020-11-22 20:40:35,食品酒水,买菜,,港币,HKD,13.00,,,,
支出,2020-11-22 20:40:06,居家生活,快递费,,人民币,CNY,28.00,,,,
支出,2020-11-21 23:33:24,购物消费,衣裤鞋帽,,港币,HKD,667.00,,,,
支出,2020-11-21 23:31:59,食品酒水,外出美食,,港币,HKD,116.00,,,,
支出,2020-11-21 23:31:42,食品酒水,买菜,,港币,HKD,59.00,,,惠康,
支出,2020-11-21 20:40:49,购物消费,宠物支出,,港币,HKD,360.00,,,,
支出,2020-11-20 16:06:22,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-20 16:06:18,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-20 16:05:45,休闲娱乐,聚会,,港币,HKD,100.00,,,,
支出,2020-11-20 16:05:34,行车交通,加油,,港币,HKD,380.00,,,,
支出,2020-11-19 20:04:50,食品酒水,买菜,,港币,HKD,16.80,,,,
支出,2020-11-19 13:32:21,食品酒水,中餐,,港币,HKD,35.00,,,,
支出,2020-11-19 12:50:59,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-19 12:50:56,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-18 12:51:03,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-17 12:50:49,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-17 12:50:41,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-17 11:20:51,食品酒水,买菜,,人民币,CNY,300.00,,,,
支出,2020-11-17 09:05:16,食品酒水,早餐,,港币,HKD,26.00,,,,
支出,2020-11-16 13:33:28,食品酒水,早餐,,港币,HKD,34.00,,,,
支出,2020-11-16 11:28:48,购物消费,衣裤鞋帽,,人民币,CNY,263.00,,,,
支出,2020-11-16 09:42:15,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-11-16 09:42:06,人情费用,请客,,港币,HKD,280.00,,,,
支出,2020-11-15 09:43:05,食品酒水,买菜,,港币,HKD,99.20,,,,
支出,2020-11-14 17:20:51,行车交通,停车,,港币,HKD,51.00,,,,
支出,2020-11-14 17:20:44,行车交通,加油,,港币,HKD,400.00,,,,
支出,2020-11-13 20:08:53,人情费用,红包,,港币,HKD,450.00,,,,
支出,2020-11-13 20:08:46,食品酒水,晚餐,,港币,HKD,365.00,,,,
支出,2020-11-13 17:20:26,食品酒水,中餐,,港币,HKD,60.00,,,,
支出,2020-11-13 13:08:48,食品酒水,早餐,,港币,HKD,28.50,,,,
支出,2020-11-13 12:23:35,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-12 13:42:30,食品酒水,中餐,,人民币,CNY,39.00,,,,
支出,2020-11-12 12:23:26,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-12 12:23:21,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-11 21:12:34,购物消费,宠物支出,,人民币,CNY,142.00,,,,
支出,2020-11-11 21:11:45,人情费用,孝敬长辈,,人民币,CNY,330.00,,,,
支出,2020-11-11 13:55:26,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2020-11-11 13:55:22,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-11 13:55:19,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-11 11:04:29,购物消费,日常用品,,人民币,CNY,262.00,,,,
支出,2020-11-11 10:58:56,购物消费,衣裤鞋帽,,人民币,CNY,110.00,,,,
支出,2020-11-11 10:29:17,购物消费,日常用品,,人民币,CNY,259.00,,,,
支出,2020-11-11 10:28:54,购物消费,电子数码,,人民币,CNY,137.00,,,,
支出,2020-11-11 10:28:40,购物消费,宠物支出,,人民币,CNY,419.00,,,,
支出,2020-11-11 09:37:36,购物消费,衣裤鞋帽,,人民币,CNY,1000.00,,,,
支出,2020-11-10 18:43:45,人情费用,请客,,港币,HKD,15.00,,,qiqi 咖啡,
支出,2020-11-10 18:43:42,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2020-11-10 18:43:37,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-10 18:43:33,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-10 13:40:00,人情费用,孝敬长辈,,人民币,CNY,765.00,,,,
支出,2020-11-10 13:29:55,食品酒水,中餐,,港币,HKD,34.00,,,,
支出,2020-11-09 17:45:40,交流通讯,手机话费,,港币,HKD,156.00,,,,
支出,2020-11-09 16:37:37,居家生活,快递费,,人民币,CNY,81.00,,,,
支出,2020-11-09 15:02:56,食品酒水,中餐,,港币,HKD,30.00,,,,
支出,2020-11-09 15:02:47,居家生活,燃气费,,港币,HKD,372.00,,,,
支出,2020-11-09 13:40:38,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2020-11-09 13:40:21,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-09 13:40:17,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-08 22:16:49,购物消费,家居饰品,,人民币,CNY,96.00,,,,
支出,2020-11-08 16:16:16,食品酒水,买菜,,港币,HKD,107.00,,,,
支出,2020-11-08 13:21:09,行车交通,加油,,港币,HKD,350.00,,,,
支出,2020-11-07 22:28:30,食品酒水,晚餐,,港币,HKD,287.00,,,,
支出,2020-11-06 19:29:57,食品酒水,晚餐,,港币,HKD,135.00,,,,
支出,2020-11-06 15:42:26,食品酒水,早餐,,港币,HKD,14.00,,,"咖啡
",
支出,2020-11-06 15:42:24,食品酒水,中餐,,港币,HKD,15.00,默认,,,
