随手记导出文件(headers:v5; iPhone; MyMoneyPro; 12.82.0; 20210422)
交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2021-04-02 21:01:37,购物消费,衣裤鞋帽,,港币,HKD,1398.00,,,老公鞋子,
支出,2021-04-02 21:01:17,食品酒水,晚餐,,港币,HKD,89.00,,,下午茶,
支出,2021-04-01 22:45:08,购物消费,超市购物,,港币,HKD,211.00,,,,
支出,2021-04-01 22:45:00,行车交通,停车,,港币,HKD,14.00,,,,
支出,2021-04-01 22:44:02,行车交通,保险,,港币,HKD,5500.00,,,,
支出,2021-04-01 22:43:16,行车交通,牌费,,港币,HKD,1000.00,,,过户,
支出,2021-04-01 22:41:49,购物消费,汽车用品,,港币,HKD,82000.00,,,买了车,
支出,2021-04-01 17:38:02,食品酒水,饮料酒水,,港币,HKD,14.00,老公,公司食堂,,
支出,2021-04-01 17:37:55,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-31 22:45:29,食品酒水,中餐,,港币,HKD,118.00,,,,
支出,2021-03-31 22:45:19,食品酒水,晚餐,,港币,HKD,188.00,,,,
支出,2021-03-31 22:44:48,行车交通,停车,,港币,HKD,90.00,,,,
支出,2021-03-31 12:05:26,食品酒水,中餐,,港币,HKD,56.00,,,,
支出,2021-03-31 09:58:49,居家生活,快递费,,人民币,CNY,14.00,,,,
支出,2021-03-31 09:55:48,购物消费,衣裤鞋帽,,人民币,CNY,993.00,老公,,,
支出,2021-03-31 09:55:34,行车交通,停车,,港币,HKD,106.00,,,,
支出,2021-03-31 09:55:20,购物消费,超市购物,,港币,HKD,218.00,,,,
支出,2021-03-31 09:55:07,食品酒水,饮料酒水,,港币,HKD,40.00,,,,
支出,2021-03-31 09:54:57,食品酒水,晚餐,,港币,HKD,188.00,,,,
支出,2021-03-31 09:54:45,食品酒水,中餐,,港币,HKD,51.00,,,,
支出,2021-03-30 18:58:06,食品酒水,买菜,,人民币,CNY,157.00,,,,
支出,2021-03-30 12:24:33,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-30 12:24:28,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
收入,2021-03-29 19:17:15,职业收入,工资收入,,港币,HKD,24000.00,,,,
支出,2021-03-29 17:06:42,其他杂项,税,,港币,HKD,26260.00,,,,
支出,2021-03-29 16:45:30,食品酒水,买菜,,港币,HKD,240.00,,,,
支出,2021-03-29 16:19:07,食品酒水,买菜,,人民币,CNY,101.00,,,,
支出,2021-03-29 12:24:42,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-29 12:24:36,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
收入,2021-03-29 08:44:20,职业收入,工资收入,,港币,HKD,63000.00,,,,
支出,2021-03-28 13:24:26,居家生活,医疗保险,,港币,HKD,720.00,,,,
支出,2021-03-28 13:24:20,食品酒水,中餐,,港币,HKD,108.00,,,,
支出,2021-03-27 20:38:09,购物消费,超市购物,,人民币,CNY,240.00,,,,
支出,2021-03-27 19:46:35,人情费用,孝敬长辈,,人民币,CNY,218.00,,,,
支出,2021-03-27 19:46:28,食品酒水,饮料酒水,,港币,HKD,90.00,,,,
支出,2021-03-27 18:25:01,购物消费,衣裤鞋帽,,人民币,CNY,485.00,,,,
支出,2021-03-27 18:22:08,购物消费,衣裤鞋帽,,人民币,CNY,348.00,老公,,,
支出,2021-03-27 18:21:35,食品酒水,买菜,,人民币,CNY,95.00,,,,
支出,2021-03-27 18:20:18,食品酒水,饮料酒水,,港币,HKD,57.00,,,烟,
支出,2021-03-27 18:20:07,行车交通,过路费,,港币,HKD,6.00,,,,
支出,2021-03-27 18:19:56,食品酒水,中餐,,港币,HKD,114.00,,,,
支出,2021-03-27 18:19:49,食品酒水,晚餐,,港币,HKD,123.00,,,,
支出,2021-03-27 18:19:30,行车交通,公共交通,,港币,HKD,61.60,,,,
支出,2021-03-26 18:19:00,行车交通,公共交通,,港币,HKD,25.00,,,,
支出,2021-03-26 18:18:05,休闲娱乐,聚会,,港币,HKD,218.00,,,,
支出,2021-03-26 18:17:54,食品酒水,早餐,,港币,HKD,27.00,,,,
支出,2021-03-26 12:46:46,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-03-26 12:46:43,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-26 12:46:40,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-03-25 19:18:35,食品酒水,早餐,,港币,HKD,36.00,,,,
支出,2021-03-24 18:59:05,食品酒水,晚餐,,港币,HKD,153.00,,,,
支出,2021-03-23 15:27:27,居家生活,快递费,,人民币,CNY,29.00,,,,
支出,2021-03-23 14:53:39,食品酒水,中餐,,港币,HKD,73.00,,,,
支出,2021-03-23 14:51:16,人情费用,祭拜神灵,,港币,HKD,260.00,,,,
支出,2021-03-22 15:46:43,食品酒水,中餐,,港币,HKD,20.00,老公,公司食堂,,
支出,2021-03-22 10:34:01,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-03-22 10:33:51,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-03-21 19:05:05,购物消费,衣裤鞋帽,,人民币,CNY,450.00,,,,
支出,2021-03-21 19:04:52,购物消费,衣裤鞋帽,,人民币,CNY,374.00,老公,,,
支出,2021-03-21 19:04:43,食品酒水,中餐,,港币,HKD,160.00,,,,
支出,2021-03-18 18:45:12,食品酒水,饮料酒水,,港币,HKD,60.00,,,烟,
支出,2021-03-18 18:45:05,食品酒水,晚餐,,港币,HKD,125.00,,,,
支出,2021-03-18 08:20:01,食品酒水,饮料酒水,,港币,HKD,32.00,,,,
支出,2021-03-18 08:02:29,人情费用,请客,,港币,HKD,520.00,,,,
支出,2021-03-17 08:31:50,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-17 08:31:46,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-03-17 08:31:34,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-03-17 08:31:06,购物消费,宠物支出,,人民币,CNY,293.00,,,,
支出,2021-03-16 18:36:31,食品酒水,晚餐,,港币,HKD,104.00,,,,
支出,2021-03-16 15:30:39,购物消费,电子数码,,港币,HKD,10000.00,老公,,换手机，下次是2023年年初了,
支出,2021-03-16 11:16:10,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-15 18:16:13,行车交通,公共交通,,港币,HKD,11.00,,,通勤,
支出,2021-03-15 12:16:52,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-15 12:16:49,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-03-15 12:16:39,行车交通,违章罚款,,港币,HKD,450.00,,,,
支出,2021-03-15 08:37:57,购物消费,汽车用品,,人民币,CNY,19.90,,,,
支出,2021-03-14 19:59:12,购物消费,家具家电,,人民币,CNY,85.00,,,,
支出,2021-03-14 18:18:47,食品酒水,买菜,,港币,HKD,105.00,,,,
支出,2021-03-14 16:42:47,食品酒水,下午茶,,港币,HKD,60.00,,,,
支出,2021-03-14 14:30:46,购物消费,植物花卉,,港币,HKD,80.00,,,,
支出,2021-03-14 12:48:30,食品酒水,饮料酒水,,港币,HKD,53.00,,,,
支出,2021-03-14 11:18:32,食品酒水,买菜,,港币,HKD,736.00,,,,
支出,2021-03-13 14:30:24,食品酒水,中餐,,港币,HKD,120.00,,,聚会,
支出,2021-03-13 14:30:07,食品酒水,下午茶,,港币,HKD,85.00,,,,
支出,2021-03-13 14:29:55,食品酒水,晚餐,,港币,HKD,110.00,,,,
支出,2021-03-13 14:29:55,行车交通,停车,,港币,HKD,110.00,,,,
支出,2021-03-12 19:37:05,购物消费,宠物口粮,,人民币,CNY,827.00,,,,
支出,2021-03-12 17:41:42,食品酒水,晚餐,,港币,HKD,112.00,,,,
支出,2021-03-11 19:54:38,购物消费,衣裤鞋帽,,人民币,CNY,188.00,老公,,,
支出,2021-03-11 19:53:49,购物消费,衣裤鞋帽,,人民币,CNY,455.00,,,,
支出,2021-03-11 19:53:23,购物消费,宠物支出,,人民币,CNY,110.00,,,,
支出,2021-03-11 19:52:35,食品酒水,饮料酒水,,港币,HKD,77.00,,,,
支出,2021-03-11 19:52:26,购物消费,运动器械,,港币,HKD,818.00,,,,
